mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
4.725248265266418,0.47795443353472183,0.07020015716552734,0.02980383680287661,0.01,5,"{'learning_rate': 0.01, 'n_estimators': 5}",0.7450704225352113,0.7418899858956276,0.7165021156558533,0.7443502824858758,0.7227722772277227,0.7464589235127479,0.7365439093484419,0.7173295454545454,0.7425320056899004,0.738944365192582,0.7352399830100523,0.011165011313216412,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
4.506847858428955,0.2365295045031246,0.10140016078948974,0.043147563798296075,0.01,10,"{'learning_rate': 0.01, 'n_estimators': 10}",0.7450704225352113,0.7418899858956276,0.7165021156558533,0.7443502824858758,0.7227722772277227,0.7464589235127479,0.7365439093484419,0.7173295454545454,0.7425320056899004,0.738944365192582,0.7352399830100523,0.011165011313216412,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
4.3492875576019285,0.36115318943808933,0.10452022552490234,0.044151067869361564,0.01,30,"{'learning_rate': 0.01, 'n_estimators': 30}",0.7450704225352113,0.7418899858956276,0.7165021156558533,0.7443502824858758,0.7227722772277227,0.7464589235127479,0.7365439093484419,0.7173295454545454,0.7425320056899004,0.738944365192582,0.7352399830100523,0.011165011313216412,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
4.436647748947143,0.33914907726002125,0.11700022220611572,0.050429403470779934,0.01,50,"{'learning_rate': 0.01, 'n_estimators': 50}",0.7450704225352113,0.7418899858956276,0.7165021156558533,0.7443502824858758,0.7227722772277227,0.7464589235127479,0.7365439093484419,0.7173295454545454,0.7425320056899004,0.738944365192582,0.7352399830100523,0.011165011313216412,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
4.22292742729187,0.2275733210467201,0.11700024604797363,0.044261260549192175,0.01,100,"{'learning_rate': 0.01, 'n_estimators': 100}",0.7450704225352113,0.7418899858956276,0.7165021156558533,0.7443502824858758,0.7227722772277227,0.7464589235127479,0.7365439093484419,0.7173295454545454,0.7425320056899004,0.738944365192582,0.7352399830100523,0.011165011313216412,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
4.405447769165039,0.26741199056925163,0.11076021194458008,0.035195329465796406,0.01,150,"{'learning_rate': 0.01, 'n_estimators': 150}",0.7450704225352113,0.7418899858956276,0.7165021156558533,0.7443502824858758,0.7227722772277227,0.7464589235127479,0.7365439093484419,0.7173295454545454,0.7425320056899004,0.738944365192582,0.7352399830100523,0.011165011313216412,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
4.32588758468628,0.36036064635109144,0.11700026988983155,0.03773147143660719,0.01,200,"{'learning_rate': 0.01, 'n_estimators': 200}",0.7450704225352113,0.7418899858956276,0.7165021156558533,0.7443502824858758,0.7227722772277227,0.7464589235127479,0.7365439093484419,0.7173295454545454,0.7425320056899004,0.738944365192582,0.7352399830100523,0.011165011313216412,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
4.307167506217956,0.1779290943532427,0.12792024612426758,0.06864012479800219,0.01,300,"{'learning_rate': 0.01, 'n_estimators': 300}",0.7450704225352113,0.7418899858956276,0.7165021156558533,0.7443502824858758,0.7227722772277227,0.7464589235127479,0.7365439093484419,0.7173295454545454,0.7425320056899004,0.738944365192582,0.7352399830100523,0.011165011313216412,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
4.375807762145996,0.2263079235467733,0.11856017112731934,0.050885762746810996,0.03,5,"{'learning_rate': 0.03, 'n_estimators': 5}",0.7450704225352113,0.7418899858956276,0.7165021156558533,0.7443502824858758,0.7227722772277227,0.7464589235127479,0.7365439093484419,0.7173295454545454,0.7425320056899004,0.738944365192582,0.7352399830100523,0.011165011313216412,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
4.290007495880127,0.19596514776444374,0.11388020515441895,0.03760221837657982,0.03,10,"{'learning_rate': 0.03, 'n_estimators': 10}",0.7450704225352113,0.7418899858956276,0.7165021156558533,0.7443502824858758,0.7227722772277227,0.7464589235127479,0.7365439093484419,0.7173295454545454,0.7425320056899004,0.738944365192582,0.7352399830100523,0.011165011313216412,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
4.665968179702759,0.5378482345681206,0.0904801368713379,0.04721429148591536,0.03,30,"{'learning_rate': 0.03, 'n_estimators': 30}",0.7450704225352113,0.7418899858956276,0.7165021156558533,0.7443502824858758,0.7227722772277227,0.7464589235127479,0.7365439093484419,0.7173295454545454,0.7425320056899004,0.738944365192582,0.7352399830100523,0.011165011313216412,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
