mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
12.238670945167542,0.35198917994763484,0.5678410291671753,0.22425011821018284,1,2,"{'min_samples_leaf': 1, 'min_samples_split': 2}",0.6816901408450704,0.692524682651622,0.6657263751763046,0.6864406779661016,0.7001414427157001,0.6756373937677054,0.6855524079320113,0.7017045454545454,0.7041251778093883,0.6975748930099858,0.6890839586577941,0.011800807359970845,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
9.926297378540038,0.9487086909717816,0.7706413984298706,0.4194754403340989,1,5,"{'min_samples_leaf': 1, 'min_samples_split': 5}",0.6746478873239437,0.691114245416079,0.6657263751763046,0.690677966101695,0.6888260254596889,0.6713881019830028,0.6827195467422096,0.6903409090909091,0.6998577524893315,0.6890156918687589,0.6844117230638539,0.010080765327794887,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
7.753213667869568,1.0128250988744287,1.029601812362671,0.4526697031405653,1,7,"{'min_samples_leaf': 1, 'min_samples_split': 7}",0.671830985915493,0.688293370944993,0.6530324400564175,0.673728813559322,0.6874115983026874,0.6671388101983002,0.6813031161473088,0.6860795454545454,0.7027027027027027,0.68188302425107,0.6793147387795554,0.012947081215770007,3,0.9996851881001102,0.999213094113944,0.9996852376455776,0.9995279307631786,0.9995280050346129,0.9995280792826805,0.9995280792826805,0.9996854851391729,0.9996855345911949,0.9996856334486011,0.9995752267401754,0.0001416901129901374
6.9700922012329105,0.9267466495106695,0.7378813028335571,0.3982163753398382,1,10,"{'min_samples_leaf': 1, 'min_samples_split': 10}",0.6661971830985915,0.689703808180536,0.6586741889985895,0.6765536723163842,0.6760961810466761,0.6643059490084986,0.6784702549575071,0.6818181818181818,0.6927453769559033,0.6733238231098431,0.6757751663599038,0.010242031950060416,4,0.9833149693058397,0.9845766446333019,0.9836323575700346,0.9833202202989771,0.9814348646947766,0.9839546956111374,0.9823816265534057,0.9853750589715364,0.9834905660377359,0.9831813895001572,0.9834662393176903,0.0010281819073224673
5.3149292945861815,1.0638040101079609,0.7020012617111206,0.28001942128417345,3,2,"{'min_samples_leaf': 3, 'min_samples_split': 2}",0.6563380281690141,0.6741889985895627,0.6459802538787024,0.6567796610169492,0.6506364922206507,0.6543909348441926,0.6529745042492918,0.6605113636363636,0.6728307254623044,0.6676176890156919,0.6592099674359337,0.008984965438412295,5,0.9592318589642689,0.9557758892036512,0.954831602140384,0.9557828481510622,0.9537444933920705,0.9573698285354727,0.9539090766084631,0.9583267809403995,0.9573899371069182,0.9563030493555486,0.9562665364398238,0.0017311962419741932
4.803248310089112,0.8881732672290643,0.5865611791610718,0.26531049478238794,3,5,"{'min_samples_leaf': 3, 'min_samples_split': 5}",0.6563380281690141,0.6741889985895627,0.6459802538787024,0.6567796610169492,0.6506364922206507,0.6543909348441926,0.6529745042492918,0.6605113636363636,0.6728307254623044,0.6676176890156919,0.6592099674359337,0.008984965438412295,5,0.9592318589642689,0.9557758892036512,0.954831602140384,0.9557828481510622,0.9537444933920705,0.9573698285354727,0.9539090766084631,0.9583267809403995,0.9573899371069182,0.9563030493555486,0.9562665364398238,0.0017311962419741932
5.052848887443543,0.825430134695872,0.5491209268569947,0.18821161815048665,3,7,"{'min_samples_leaf': 3, 'min_samples_split': 7}",0.6464788732394366,0.6699576868829337,0.6459802538787024,0.6567796610169492,0.6562942008486563,0.6529745042492918,0.6558073654390935,0.6448863636363636,0.6699857752489331,0.6704707560627675,0.6569446410873566,0.009560633304384657,7,0.9408153628207147,0.940352533836953,0.9378344350015738,0.9419354838709677,0.9398993077407174,0.9403806827119711,0.9402233758061979,0.9421292656078,0.9438679245283019,0.940899088337001,0.9408337460262199,0.001509353135697866
4.609808087348938,0.692340771572882,0.7862413167953491,0.3166613742279919,3,10,"{'min_samples_leaf': 3, 'min_samples_split': 10}",0.6549295774647887,0.6629055007052186,0.6445698166431594,0.6596045197740112,0.652050919377652,0.6487252124645893,0.6515580736543909,0.6448863636363636,0.6685633001422475,0.6676176890156919,0.655528812119496,0.008326901928415202,8,0.8913898945380135,0.8940824677368586,0.8942398489140698,0.8934697088906373,0.8904971680302077,0.8900424728645587,0.8924020764511562,0.8919641453058657,0.8933962264150943,0.8912291732159698,0.8922713182362433,0.001412328632364633
3.5802062511444093,0.37075908724892853,0.920401644706726,0.49705123771891974,5,2,"{'min_samples_leaf': 5, 'min_samples_split': 2}",0.6253521126760564,0.6375176304654443,0.6220028208744711,0.6200564971751412,0.6223479490806223,0.6218130311614731,0.6260623229461756,0.6235795454545454,0.635846372688478,0.6433666191155493,0.6277785643494266,0.007654753174991753,9,0.7791594522272942,0.7807680201447906,0.7740006295247088,0.7749803304484658,0.7739144115796098,0.7714330659115936,0.7722196004404593,0.7691460921528542,0.7778301886792452,0.7720842502357749,0.7745536041344796,0.0034926992315865778
4.661288189888,0.7421678957950796,0.9391216516494751,0.3922902936560265,5,5,"{'min_samples_leaf': 5, 'min_samples_split': 5}",0.6253521126760564,0.6375176304654443,0.6220028208744711,0.6200564971751412,0.6223479490806223,0.6218130311614731,0.6260623229461756,0.6235795454545454,0.635846372688478,0.6433666191155493,0.6277785643494266,0.007654753174991753,9,0.7791594522272942,0.7807680201447906,0.7740006295247088,0.7749803304484658,0.7739144115796098,0.7714330659115936,0.7722196004404593,0.7691460921528542,0.7778301886792452,0.7720842502357749,0.7745536041344796,0.0034926992315865778
