mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
2.067003536224365,0.26995255769190823,0.13104023933410644,0.06049920927627096,5,200,"{'max_features': 5, 'n_estimators': 200}",0.6904761904761905,0.6788218793828892,0.6652601969057665,0.691114245416079,0.7076271186440678,0.6879432624113475,0.6714082503556188,0.6842857142857143,0.6714285714285714,0.6842857142857143,0.6832790598895654,0.01165461485259818,54,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2.2245639324188233,0.343852314147343,0.1560002088546753,0.0708041709830369,5,300,"{'max_features': 5, 'n_estimators': 300}",0.6862745098039216,0.6788218793828892,0.6736990154711674,0.68688293370945,0.7033898305084746,0.6964539007092199,0.6770981507823614,0.6914285714285714,0.6714285714285714,0.6871428571428572,0.6852612204445703,0.009652768360141048,53,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
3.9920469522476196,0.44037692842956644,0.40560073852539064,0.15724336289175783,5,500,"{'max_features': 5, 'n_estimators': 500}",0.6904761904761905,0.6816269284712483,0.6751054852320675,0.685472496473907,0.7048022598870056,0.6950354609929078,0.6714082503556188,0.6871428571428572,0.6828571428571428,0.6914285714285714,0.6865354665156449,0.009189843253666327,52,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
5.121489071846009,0.5410330902610258,0.4960808038711548,0.1741063620743791,5,750,"{'max_features': 5, 'n_estimators': 750}",0.6904761904761905,0.6886395511921458,0.6821378340365682,0.689703808180536,0.7033898305084746,0.6936170212765957,0.6728307254623044,0.6885714285714286,0.6785714285714286,0.6885714285714286,0.6876681296899334,0.007935436052392152,50,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
6.917052125930786,0.33488865058571693,0.5834409952163696,0.1839480867826098,5,1000,"{'max_features': 5, 'n_estimators': 1000}",0.6876750700280112,0.6872370266479664,0.6821378340365682,0.688293370944993,0.7005649717514124,0.700709219858156,0.6742532005689901,0.6885714285714286,0.68,0.6885714285714286,0.6878097125867195,0.007788875223103943,49,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
8.17441430091858,0.3885000935141969,0.5382009744644165,0.21953951747130748,5,1200,"{'max_features': 5, 'n_estimators': 1200}",0.6904761904761905,0.6858345021037868,0.6779184247538678,0.691114245416079,0.6991525423728814,0.700709219858156,0.6742532005689901,0.6914285714285714,0.6757142857142857,0.6871428571428572,0.6873849638963613,0.008690037813703953,51,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.7440830707550048,0.4994348105763057,0.07956011295318603,0.019042220476429568,10,200,"{'max_features': 10, 'n_estimators': 200}",0.7030812324929971,0.6956521739130435,0.6877637130801688,0.6995768688293371,0.711864406779661,0.7092198581560284,0.6913229018492176,0.7042857142857143,0.6757142857142857,0.6957142857142857,0.6974373495681722,0.010177161104530968,48,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
3.1933256864547728,0.3679787866106164,0.23244032859802247,0.06887022961528068,10,300,"{'max_features': 10, 'n_estimators': 300}",0.696078431372549,0.7068723702664796,0.6933895921237694,0.7038081805359662,0.711864406779661,0.7106382978723405,0.6970128022759602,0.7,0.6871428571428572,0.7014285714285714,0.7008353390910378,0.007372895146864332,43,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
5.076249003410339,0.6161201243259167,0.36192057132720945,0.07636045669965437,10,500,"{'max_features': 10, 'n_estimators': 500}",0.7002801120448179,0.6984572230014026,0.6891701828410689,0.7094499294781382,0.7146892655367232,0.7063829787234043,0.6970128022759602,0.7,0.6785714285714286,0.6985714285714286,0.699277927226391,0.009632910057749156,47,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
7.918573880195618,0.7535055474307844,0.6505212306976318,0.16975377798838187,10,750,"{'max_features': 10, 'n_estimators': 750}",0.6974789915966386,0.697054698457223,0.6919831223628692,0.7094499294781382,0.7076271186440678,0.7063829787234043,0.6970128022759602,0.7071428571428572,0.68,0.7057142857142857,0.6999858417103214,0.008699090089437773,46,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
10.213337969779968,0.5691359861453776,0.929761528968811,0.3061105278031727,10,1000,"{'max_features': 10, 'n_estimators': 1000}",0.6974789915966386,0.6984572230014026,0.6905766526019691,0.7080394922425952,0.7076271186440678,0.7092198581560284,0.6955903271692745,0.7057142857142857,0.6842857142857143,0.7057142857142857,0.7002690075038935,0.007964616479588437,44,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
