mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
0.14196019172668456,0.0162869089336799,0.0,0.0,5,auto,50,"{'max_depth': 5, 'max_features': 'auto', 'n_estimators': 50}",0.4098591549295775,0.4033850493653032,0.39633286318758815,0.4067796610169492,0.4158415841584158,0.41359773371104813,0.3881019830028329,0.41761363636363635,0.40825035561877665,0.4037089871611983,0.40634291377601583,0.00857101691462587,191,0.41051471745631984,0.4129682090022033,0.4090336795719232,0.4113296616837136,0.4106356198867212,0.4118294793141419,0.4113575585968224,0.40934109136656704,0.4116352201257862,0.4135491983652939,0.4112194435369493,0.0013492752029756992
0.2839205741882324,0.028595210103669697,0.015599989891052246,1.2839233415447482e-07,5,auto,100,"{'max_depth': 5, 'max_features': 'auto', 'n_estimators': 100}",0.4112676056338028,0.40620592383638926,0.4005641748942172,0.4110169491525424,0.41725601131541723,0.415014164305949,0.386685552407932,0.42045454545454547,0.4096728307254623,0.4051355206847361,0.40832507433102083,0.009122076083356573,189,0.41429246025499766,0.4131255901794145,0.4118665407617249,0.4114870180959874,0.4118942731277533,0.41403177599496616,0.4135598552776467,0.410127378518635,0.4125786163522013,0.4146494812951902,0.4127612989858517,0.0013579848010114221
0.31512064933776857,0.030249552382379884,0.015600013732910156,1.784161275279017e-07,5,auto,150,"{'max_depth': 5, 'max_features': 'auto', 'n_estimators': 150}",0.4126760563380282,0.4090267983074753,0.4005641748942172,0.4110169491525424,0.41725601131541723,0.415014164305949,0.3881019830028329,0.42045454545454547,0.41109530583214793,0.4008559201141227,0.40860824012459296,0.009107504490859505,187,0.4139776483551078,0.41344035253383693,0.4118665407617249,0.4113296616837136,0.41236626809314036,0.4121440931256882,0.4130879345603272,0.41028463594904857,0.41226415094339625,0.41480666457088966,0.41255679505768733,0.0012482306764481329
0.3790805578231812,0.052694803587976353,0.031200098991394042,1.8621086301581035e-07,5,auto,200,"{'max_depth': 5, 'max_features': 'auto', 'n_estimators': 200}",0.4112676056338028,0.4090267983074753,0.4005641748942172,0.4110169491525424,0.4158415841584158,0.4164305949008499,0.3895184135977337,0.4247159090909091,0.41251778093883357,0.4008559201141227,0.4091745717117372,0.009413414640372498,185,0.413662836455218,0.4131255901794145,0.4131255901794145,0.41195908733280884,0.4131529263687854,0.4124587069372345,0.41371716218341986,0.4113854379619437,0.4128930817610063,0.4151210311222886,0.4130601450481534,0.0009729308414741635
0.555360984802246,0.07121542407088549,0.054600095748901366,0.007800006867475343,5,auto,300,"{'max_depth': 5, 'max_features': 'auto', 'n_estimators': 300}",0.4126760563380282,0.4104372355430183,0.4033850493653032,0.4110169491525424,0.41725601131541723,0.4192634560906516,0.3895184135977337,0.42613636363636365,0.41251778093883357,0.39942938659058486,0.4101656519892397,0.00993285148925719,179,0.4139776483551078,0.41344035253383693,0.4137551148882594,0.4129032258064516,0.4131529263687854,0.4135598552776467,0.41466100361805885,0.4116999528227709,0.41336477987421383,0.415592580949387,0.4136107440494518,0.0009818150479627918
0.847081470489502,0.11379463725269783,0.13416025638580323,0.04311935552706112,5,auto,500,"{'max_depth': 5, 'max_features': 'auto', 'n_estimators': 500}",0.4140845070422535,0.4104372355430183,0.4033850493653032,0.4110169491525424,0.4186704384724187,0.4206798866855524,0.3881019830028329,0.42329545454545453,0.41109530583214793,0.39942938659058486,0.41002406909245365,0.010093498938644639,181,0.41460727215488746,0.41344035253383693,0.414227258419893,0.41337529504327303,0.4133102580239144,0.4134025483718735,0.414818310523832,0.41201446768359806,0.41446540880503147,0.415592580949387,0.4139253752509527,0.000962589292882457
1.1871621370315553,0.1315314680693824,0.2121603012084961,0.09596233175889086,5,auto,750,"{'max_depth': 5, 'max_features': 'auto', 'n_estimators': 750}",0.4112676056338028,0.4104372355430183,0.4033850493653032,0.4138418079096045,0.4158415841584158,0.42209631728045327,0.3895184135977337,0.421875,0.41109530583214793,0.39942938659058486,0.4098824861956676,0.009553913798349547,183,0.41429246025499766,0.4146994019515266,0.4146994019515266,0.41416207710464203,0.4133102580239144,0.4143463898065125,0.414818310523832,0.412800754835666,0.41446540880503147,0.4151210311222886,0.41427154943799377,0.0006730233500865255
1.6146028518676758,0.21060029489025806,0.31044051647186277,0.1072777434082605,5,auto,1000,"{'max_depth': 5, 'max_features': 'auto', 'n_estimators': 1000}",0.4098591549295775,0.4104372355430183,0.40479548660084624,0.4138418079096045,0.4158415841584158,0.42209631728045327,0.3909348441926346,0.42613636363636365,0.41536273115220484,0.40228245363766046,0.41115673226674215,0.00959078693426708,177,0.4160239257043916,0.4156436890147938,0.4156436890147938,0.4147915027537372,0.4139395846444305,0.41513292433537835,0.41670599339310993,0.4137442994181475,0.41540880503144656,0.4163784973278843,0.41534129106381135,0.0009193744391461847
0.15756025314331054,0.033784093328038625,0.0,0.0,5,sqrt,50,"{'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 50}",0.4098591549295775,0.4033850493653032,0.39633286318758815,0.4067796610169492,0.4158415841584158,0.41359773371104813,0.3881019830028329,0.41761363636363635,0.40825035561877665,0.4037089871611983,0.40634291377601583,0.00857101691462587,191,0.41051471745631984,0.4129682090022033,0.4090336795719232,0.4113296616837136,0.4106356198867212,0.4118294793141419,0.4113575585968224,0.40934109136656704,0.4116352201257862,0.4135491983652939,0.4112194435369493,0.0013492752029756992
0.171600341796875,0.01845818920279569,0.015599942207336426,1.2839233415447482e-07,5,sqrt,100,"{'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 100}",0.4112676056338028,0.40620592383638926,0.4005641748942172,0.4110169491525424,0.41725601131541723,0.415014164305949,0.386685552407932,0.42045454545454547,0.4096728307254623,0.4051355206847361,0.40832507433102083,0.009122076083356573,189,0.41429246025499766,0.4131255901794145,0.4118665407617249,0.4114870180959874,0.4118942731277533,0.41403177599496616,0.4135598552776467,0.410127378518635,0.4125786163522013,0.4146494812951902,0.4127612989858517,0.0013579848010114221
